description,rank,rank_yoy_change,median_salary,median_salary_yoy_change,live_jobs,historical_vacancies_absolute,historical_vacancies_relative,period,date_scraped,source_url,page
R,479,Down -135 places-135,"£60,000",-8.39%,238,108,0.19%,3mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=17,17
Azure,5,Up 2 places+2,"£65,000",+8.33%,"2,868","12,720",11.74%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
AI,7,Up 4 places+4,"£72,500",+3.57%,"3,129","9,412",8.69%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Software Engineering,15,Up 9 places+9,"£72,500",-3.33%,"1,424","8,173",7.54%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Python,18,Down -8 places-8,"£70,000",-3.44%,"2,294","7,073",6.53%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
AWS,19,Down -6 places-6,"£72,500",-,"1,820","7,009",6.47%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Cybersecurity,20,Up 15 places+15,"£60,000",+4.34%,"1,902","6,813",6.29%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
SQL,21,Down -9 places-9,"£57,500",-,"1,903","6,573",6.07%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1
Java,58,Down -27 places-27,"£70,000",-6.66%,679,"2,818",2.60%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2
JavaScript,66,Down -27 places-27,"£57,500",-11.53%,801,"2,586",2.39%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2
Data Science,134,Up 15 places+15,"£75,000",+3.44%,713,"1,564",1.44%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=3,3
Databricks,211,Down -103 places-103,"£85,000",+13.33%,307,"1,034",0.95%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=5,5
Snowflake,366,Down -61 places-61,"£90,000",+9.09%,209,538,0.50%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=9,9
R,556,Down -175 places-175,"£55,000",-11.29%,238,236,0.22%,6mo,2026-08-24,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=15,15
